DeltaTime,SystemTime,Frame,DistanceTrackedObject_SpeedThisFrame,DistanceTrackedObject_DistanceTraveled,DistanceTrackedObject_TimeStartedInSeconds,DistanceTrackedObject_TimeSinceStarted,DistanceTrackedObject_Speed,DistanceTrackedObject_LastRecordedPositionDistanceTrackedObject_LastRecordedPosition_x,DistanceTrackedObject_LastRecordedPosition_y,DistanceTrackedObject_LastRecordedPosition_z,UserData_userID,
0.02,0,1,0,0,0,0,NaN,0,0,0,TestUser,
0.02,0.02,2,0,0,0,0.02,0,0,0,0,TestUser,
0.3333333,0.3533334,3,0,0,0,0.3533334,0,0,0,0,TestUser,
0.0256103,0.3789437,4,0,0,0,0.3789437,0,0,0,0,TestUser,
0.0055836,0.3845272,5,0,0,0,0.3845272,0,0,0,0,TestUser,
0.0027194,0.3872466,6,0,0,0,0.3872466,0,0,0,0,TestUser,
0.0032155,0.3904621,7,0,0,0,0.3904621,0,0,0,0,TestUser,
0.0024401,0.3929023,8,0,0,0,0.3929023,0,0,0,0,TestUser,
0.0032046,0.3961068,9,0,0,0,0.3961068,0,0,0,0,TestUser,
0.0039837,0.4000905,10,0,0,0,0.4000905,0,0,0,0,TestUser,
0.0024425,0.4025331,11,0,0,0,0.4025331,0,0,0,0,TestUser,
0.0027637,0.4052967,12,0,0,0,0.4052967,0,0,0,0,TestUser,
0.0020201,0.4073168,13,0,0,0,0.4073168,0,0,0,0,TestUser,
0.0019019,0.4092187,14,0,0,0,0.4092187,0,0,0,0,TestUser,
0.0019755,0.4111942,15,0,0,0,0.4111942,0,0,0,0,TestUser,
0.0026495,0.4138438,16,0,0,0,0.4138438,0,0,0,0,TestUser,
0.0021973,0.416041,17,0,0,0,0.416041,0,0,0,0,TestUser,
0.0022907,0.4183317,18,0,0,0,0.4183317,0,0,0,0,TestUser,
0.0027425,0.4210742,19,0,0,0,0.4210742,0,0,0,0,TestUser,
0.002163,0.4232372,20,0,0,0,0.4232372,0,0,0,0,TestUser,
0.0019853,0.4252225,21,0,0,0,0.4252225,0,0,0,0,TestUser,
0.0017282,0.4269508,22,0,0,0,0.4269508,0,0,0,0,TestUser,
0.002725,0.4296757,23,0,0,0,0.4296757,0,0,0,0,TestUser,
0.002163,0.4318388,24,0,0,0,0.4318388,0,0,0,0,TestUser,
0.0023156,0.4341543,25,0,0,0,0.4341543,0,0,0,0,TestUser,
0.0025596,0.4367139,26,0,0,0,0.4367139,0,0,0,0,TestUser,
0.0019567,0.4386706,27,0,0,0,0.4386706,0,0,0,0,TestUser,
0.0018581,0.4405288,28,0,0,0,0.4405288,0,0,0,0,TestUser,
0.0019981,0.4425268,29,0,0,0,0.4425268,0,0,0,0,TestUser,
0.0027832,0.4453101,30,0,0,0,0.4453101,0,0,0,0,TestUser,
0.0018549,0.447165,31,0,0,0,0.447165,0,0,0,0,TestUser,
0.0018992,0.4490641,32,0,0,0,0.4490641,0,0,0,0,TestUser,
0.0021941,0.4512582,33,0,0,0,0.4512582,0,0,0,0,TestUser,
0.0024591,0.4537174,34,0,0,0,0.4537174,0,0,0,0,TestUser,
0.0018333,0.4555506,35,0,0,0,0.4555506,0,0,0,0,TestUser,
0.0016856,0.4572362,36,0,0,0,0.4572362,0,0,0,0,TestUser,
0.0016267,0.4588629,37,0,0,0,0.4588629,0,0,0,0,TestUser,
0.0020355,0.4608984,38,0,0,0,0.4608984,0,0,0,0,TestUser,
0.0017289,0.4626274,39,0,0,0,0.4626274,0,0,0,0,TestUser,
0.0015889,0.4642162,40,0,0,0,0.4642162,0,0,0,0,TestUser,
0.0018603,0.4660766,41,0,0,0,0.4660766,0,0,0,0,TestUser,
0.0022493,0.4683259,42,0,0,0,0.4683259,0,0,0,0,TestUser,
0.0015652,0.469891,43,0,0,0,0.469891,0,0,0,0,TestUser,
0.0014335,0.4713245,44,0,0,0,0.4713245,0,0,0,0,TestUser,
0.0014343,0.4727588,45,0,0,0,0.4727588,0,0,0,0,TestUser,
0.0014128,0.4741716,46,0,0,0,0.4741716,0,0,0,0,TestUser,
0.0022616,0.4764332,47,0,0,0,0.4764332,0,0,0,0,TestUser,
0.0021058,0.478539,48,0,0,0,0.478539,0,0,0,0,TestUser,
0.0015911,0.4801301,49,0,0,0,0.4801301,0,0,0,0,TestUser,
0.0023182,0.4824483,50,0,0,0,0.4824483,0,0,0,0,TestUser,
0.0021848,0.4846331,51,0,0,0,0.4846331,0,0,0,0,TestUser,
0.0016085,0.4862416,52,0,0,0,0.4862416,0,0,0,0,TestUser,
0.0014946,0.4877363,53,0,0,0,0.4877363,0,0,0,0,TestUser,
0.0014983,0.4892345,54,0,0,0,0.4892345,0,0,0,0,TestUser,
0.0014746,0.4907092,55,0,0,0,0.4907092,0,0,0,0,TestUser,
0.0023617,0.4930708,56,0,0,0,0.4930708,0,0,0,0,TestUser,
0.0015639,0.4946347,57,0,0,0,0.4946347,0,0,0,0,TestUser,
0.0018176,0.4964523,58,0,0,0,0.4964523,0,0,0,0,TestUser,
0.0020047,0.498457,59,0,0,0,0.498457,0,0,0,0,TestUser,
0.0030513,0.5015084,60,0,0,0,0.5015084,0,0,0,0,TestUser,
0.0020668,0.5035751,61,0,0,0,0.5035751,0,0,0,0,TestUser,
0.0015942,0.5051693,62,0,0,0,0.5051693,0,0,0,0,TestUser,
0.0014895,0.5066589,63,0,0,0,0.5066589,0,0,0,0,TestUser,
0.0021289,0.5087878,64,0,0,0,0.5087878,0,0,0,0,TestUser,
0.0026451,0.5114328,65,0,0,0,0.5114328,0,0,0,0,TestUser,
0.0020505,0.5134833,66,0,0,0,0.5134833,0,0,0,0,TestUser,
0.0022768,0.5157601,67,0,0,0,0.5157601,0,0,0,0,TestUser,
0.0026862,0.5184463,68,0,0,0,0.5184463,0,0,0,0,TestUser,
0.001624,0.5200703,69,0,0,0,0.5200703,0,0,0,0,TestUser,
0.0017757,0.5218461,70,0,0,0,0.5218461,0,0,0,0,TestUser,
0.0014866,0.5233327,71,0,0,0,0.5233327,0,0,0,0,TestUser,
0.0024346,0.5257673,72,0,0,0,0.5257673,0,0,0,0,TestUser,
0.0016424,0.5274096,73,0,0,0,0.5274096,0,0,0,0,TestUser,
0.0017103,0.52912,74,0,0,0,0.52912,0,0,0,0,TestUser,
0.0015896,0.5307096,75,0,0,0,0.5307096,0,0,0,0,TestUser,
0.0022046,0.5329142,76,0,0,0,0.5329142,0,0,0,0,TestUser,
0.0018538,0.5347679,77,0,0,0,0.5347679,0,0,0,0,TestUser,
0.0014877,0.5362557,78,0,0,0,0.5362557,0,0,0,0,TestUser,
0.0015383,0.5377939,79,0,0,0,0.5377939,0,0,0,0,TestUser,
0.0015522,0.5393462,80,0,0,0,0.5393462,0,0,0,0,TestUser,
0.0025876,0.5419337,81,0,0,0,0.5419337,0,0,0,0,TestUser,
0.0029597,0.5448934,82,0,0,0,0.5448934,0,0,0,0,TestUser,
0.0030023,0.5478957,83,0,0,0,0.5478957,0,0,0,0,TestUser,
0.0028379,0.5507336,84,0,0,0,0.5507336,0,0,0,0,TestUser,
0.002042,0.5527756,85,0,0,0,0.5527756,0,0,0,0,TestUser,
0.0015308,0.5543064,86,0,0,0,0.5543064,0,0,0,0,TestUser,
0.0022651,0.5565715,87,0,0,0,0.5565715,0,0,0,0,TestUser,
0.0015427,0.5581142,88,0,0,0,0.5581142,0,0,0,0,TestUser,
0.0015136,0.5596278,89,0,0,0,0.5596278,0,0,0,0,TestUser,
0.0014838,0.5611116,90,0,0,0,0.5611116,0,0,0,0,TestUser,
0.0017716,0.5628833,91,0,0,0,0.5628833,0,0,0,0,TestUser,
0.0026359,0.5655192,92,0,0,0,0.5655192,0,0,0,0,TestUser,
0.0019745,0.5674936,93,0,0,0,0.5674936,0,0,0,0,TestUser,
0.0015577,0.5690513,94,0,0,0,0.5690513,0,0,0,0,TestUser,
0.0016178,0.5706691,95,0,0,0,0.5706691,0,0,0,0,TestUser,
0.0027484,0.5734175,96,0,0,0,0.5734175,0,0,0,0,TestUser,
0.0017591,0.5751767,97,0,0,0,0.5751767,0,0,0,0,TestUser,
0.0015242,0.5767009,98,0,0,0,0.5767009,0,0,0,0,TestUser,
0.0014707,0.5781716,99,0,0,0,0.5781716,0,0,0,0,TestUser,
0.0023137,0.5804852,100,0,0,0,0.5804852,0,0,0,0,TestUser,
0.0025204,0.5830057,101,0,0,0,0.5830057,0,0,0,0,TestUser,
0.002047,0.5850527,102,0,0,0,0.5850527,0,0,0,0,TestUser,
0.0019775,0.5870302,103,0,0,0,0.5870302,0,0,0,0,TestUser,
0.0018192,0.5888494,104,0,0,0,0.5888494,0,0,0,0,TestUser,
0.0017453,0.5905946,105,0,0,0,0.5905946,0,0,0,0,TestUser,
0.0015776,0.5921723,106,0,0,0,0.5921723,0,0,0,0,TestUser,
0.0016458,0.5938181,107,0,0,0,0.5938181,0,0,0,0,TestUser,
0.0014953,0.5953134,108,0,0,0,0.5953134,0,0,0,0,TestUser,
0.0020181,0.5973315,109,0,0,0,0.5973315,0,0,0,0,TestUser,
0.0017393,0.5990707,110,0,0,0,0.5990707,0,0,0,0,TestUser,
0.0017007,0.6007714,111,0,0,0,0.6007714,0,0,0,0,TestUser,
0.0018265,0.602598,112,0,0,0,0.602598,0,0,0,0,TestUser,
0.0015626,0.6041605,113,0,0,0,0.6041605,0,0,0,0,TestUser,
0.0014914,0.6056519,114,0,0,0,0.6056519,0,0,0,0,TestUser,
0.0015313,0.6071832,115,0,0,0,0.6071832,0,0,0,0,TestUser,
0.0014549,0.6086382,116,0,0,0,0.6086382,0,0,0,0,TestUser,
0.0014604,0.6100985,117,0,0,0,0.6100985,0,0,0,0,TestUser,
0.0016283,0.6117268,118,0,0,0,0.6117268,0,0,0,0,TestUser,
0.0018537,0.6135805,119,0,0,0,0.6135805,0,0,0,0,TestUser,
0.0016748,0.6152554,120,0,0,0,0.6152554,0,0,0,0,TestUser,
0.0018734,0.6171287,121,0,0,0,0.6171287,0,0,0,0,TestUser,
0.0017746,0.6189033,122,0,0,0,0.6189033,0,0,0,0,TestUser,
0.0015565,0.6204599,123,0,0,0,0.6204599,0,0,0,0,TestUser,
0.0018236,0.6222835,124,0,0,0,0.6222835,0,0,0,0,TestUser,
0.0015246,0.623808,125,0,0,0,0.623808,0,0,0,0,TestUser,
0.001467,0.625275,126,0,0,0,0.625275,0,0,0,0,TestUser,
0.0014841,0.6267592,127,0,0,0,0.6267592,0,0,0,0,TestUser,
0.0015359,0.6282951,128,0,0,0,0.6282951,0,0,0,0,TestUser,
0.0015062,0.6298012,129,0,0,0,0.6298012,0,0,0,0,TestUser,
0.0016811,0.6314824,130,0,0,0,0.6314824,0,0,0,0,TestUser,
0.0026755,0.6341578,131,0,0,0,0.6341578,0,0,0,0,TestUser,
0.0019194,0.6360772,132,0,0,0,0.6360772,0,0,0,0,TestUser,
0.0017601,0.6378374,133,0,0,0,0.6378374,0,0,0,0,TestUser,
0.0017114,0.6395487,134,0,0,0,0.6395487,0,0,0,0,TestUser,
0.0016804,0.6412292,135,0,0,0,0.6412292,0,0,0,0,TestUser,
0.0019443,0.6431735,136,0,0,0,0.6431735,0,0,0,0,TestUser,
0.0016828,0.6448562,137,0,0,0,0.6448562,0,0,0,0,TestUser,
0.0014439,0.6463001,138,0,0,0,0.6463001,0,0,0,0,TestUser,
0.0015735,0.6478736,139,0,0,0,0.6478736,0,0,0,0,TestUser,
0.0020597,0.6499333,140,0,0,0,0.6499333,0,0,0,0,TestUser,
0.0017985,0.6517318,141,0,0,0,0.6517318,0,0,0,0,TestUser,
0.0018046,0.6535364,142,0,0,0,0.6535364,0,0,0,0,TestUser,
0.0015925,0.655129,143,0,0,0,0.655129,0,0,0,0,TestUser,
0.0015285,0.6566575,144,0,0,0,0.6566575,0,0,0,0,TestUser,
0.0014694,0.6581268,145,0,0,0,0.6581268,0,0,0,0,TestUser,
0.0015288,0.6596556,146,0,0,0,0.6596556,0,0,0,0,TestUser,
0.0015744,0.66123,147,0,0,0,0.66123,0,0,0,0,TestUser,
0.0022212,0.6634513,148,0,0,0,0.6634513,0,0,0,0,TestUser,
0.0024506,0.6659018,149,0,0,0,0.6659018,0,0,0,0,TestUser,
0.0030253,0.6689271,150,0,0,0,0.6689271,0,0,0,0,TestUser,
0.0019825,0.6709096,151,0,0,0,0.6709096,0,0,0,0,TestUser,
0.0016008,0.6725104,152,0,0,0,0.6725104,0,0,0,0,TestUser,
0.0014991,0.6740096,153,0,0,0,0.6740096,0,0,0,0,TestUser,
0.0014195,0.675429,154,0,0,0,0.675429,0,0,0,0,TestUser,
0.0014957,0.6769248,155,0,0,0,0.6769248,0,0,0,0,TestUser,
0.0017409,0.6786656,156,0,0,0,0.6786656,0,0,0,0,TestUser,
0.0016771,0.6803427,157,0,0,0,0.6803427,0,0,0,0,TestUser,
0.0021484,0.6824911,158,0,0,0,0.6824911,0,0,0,0,TestUser,
0.0017475,0.6842387,159,0,0,0,0.6842387,0,0,0,0,TestUser,
0.0014706,0.6857092,160,0,0,0,0.6857092,0,0,0,0,TestUser,
0.0015877,0.6872969,161,0,0,0,0.6872969,0,0,0,0,TestUser,
0.0013785,0.6886755,162,0,0,0,0.6886755,0,0,0,0,TestUser,
0.0015546,0.6902301,163,0,0,0,0.6902301,0,0,0,0,TestUser,
0.0016836,0.6919137,164,0,0,0,0.6919137,0,0,0,0,TestUser,
0.0016208,0.6935344,165,0,0,0,0.6935344,0,0,0,0,TestUser,
0.0019151,0.6954495,166,0,0,0,0.6954495,0,0,0,0,TestUser,
0.0018062,0.6972557,167,0,0,0,0.6972557,0,0,0,0,TestUser,
0.0021206,0.6993763,168,0,0,0,0.6993763,0,0,0,0,TestUser,
0.0026096,0.701986,169,0,0,0,0.701986,0,0,0,0,TestUser,
0.0019023,0.7038882,170,0,0,0,0.7038882,0,0,0,0,TestUser,
0.0015712,0.7054594,171,0,0,0,0.7054594,0,0,0,0,TestUser,
0.001634,0.7070934,172,0,0,0,0.7070934,0,0,0,0,TestUser,
0.0019326,0.709026,173,0,0,0,0.709026,0,0,0,0,TestUser,
0.0019059,0.710932,174,0,0,0,0.710932,0,0,0,0,TestUser,
0.0017219,0.7126538,175,0,0,0,0.7126538,0,0,0,0,TestUser,
0.001706,0.7143598,176,0,0,0,0.7143598,0,0,0,0,TestUser,
0.0026911,0.717051,177,0,0,0,0.717051,0,0,0,0,TestUser,
0.0021127,0.7191637,178,0,0,0,0.7191637,0,0,0,0,TestUser,
0.00173,0.7208936,179,0,0,0,0.7208936,0,0,0,0,TestUser,
0.002062,0.7229556,180,0,0,0,0.7229556,0,0,0,0,TestUser,
0.001951,0.7249066,181,0,0,0,0.7249066,0,0,0,0,TestUser,
0.0019628,0.7268695,182,0,0,0,0.7268695,0,0,0,0,TestUser,
0.0018168,0.7286862,183,0,0,0,0.7286862,0,0,0,0,TestUser,
0.0019222,0.7306085,184,0,0,0,0.7306085,0,0,0,0,TestUser,
0.0027195,0.7333279,185,0,0,0,0.7333279,0,0,0,0,TestUser,
0.0021313,0.7354593,186,0,0,0,0.7354593,0,0,0,0,TestUser,
0.0016909,0.7371501,187,0,0,0,0.7371501,0,0,0,0,TestUser,
0.0014782,0.7386283,188,0,0,0,0.7386283,0,0,0,0,TestUser,
0.001641,0.7402694,189,0,0,0,0.7402694,0,0,0,0,TestUser,
0.0022177,0.742487,190,0,0,0,0.742487,0,0,0,0,TestUser,
0.001829,0.744316,191,0,0,0,0.744316,0,0,0,0,TestUser,
0.0017152,0.7460312,192,0,0,0,0.7460312,0,0,0,0,TestUser,
0.0022463,0.7482775,193,0,0,0,0.7482775,0,0,0,0,TestUser,
0.0024062,0.7506837,194,0,0,0,0.7506837,0,0,0,0,TestUser,
0.0023878,0.7530715,195,0,0,0,0.7530715,0,0,0,0,TestUser,
0.0022942,0.7553657,196,0,0,0,0.7553657,0,0,0,0,TestUser,
0.002449,0.7578148,197,0,0,0,0.7578148,0,0,0,0,TestUser,
0.0020706,0.7598854,198,0,0,0,0.7598854,0,0,0,0,TestUser,
0.0019452,0.7618306,199,0,0,0,0.7618306,0,0,0,0,TestUser,
0.0025262,0.7643567,200,0,0,0,0.7643567,0,0,0,0,TestUser,
0.0021291,0.7664859,201,0,0,0,0.7664859,0,0,0,0,TestUser,
0.0017118,0.7681977,202,0,0,0,0.7681977,0,0,0,0,TestUser,
0.001941,0.7701386,203,0,0,0,0.7701386,0,0,0,0,TestUser,
0.0022806,0.7724192,204,0,0,0,0.7724192,0,0,0,0,TestUser,
0.0017347,0.7741539,205,0,0,0,0.7741539,0,0,0,0,TestUser,
0.0016762,0.7758301,206,0,0,0,0.7758301,0,0,0,0,TestUser,
0.0014557,0.7772858,207,0,0,0,0.7772858,0,0,0,0,TestUser,
0.0014292,0.778715,208,0,0,0,0.778715,0,0,0,0,TestUser,
0.0017807,0.7804958,209,0,0,0,0.7804958,0,0,0,0,TestUser,
0.0020235,0.7825192,210,0,0,0,0.7825192,0,0,0,0,TestUser,
0.0019319,0.7844511,211,0,0,0,0.7844511,0,0,0,0,TestUser,
0.0015436,0.7859948,212,0,0,0,0.7859948,0,0,0,0,TestUser,
0.0015106,0.7875053,213,0,0,0,0.7875053,0,0,0,0,TestUser,
0.0017315,0.7892368,214,0,0,0,0.7892368,0,0,0,0,TestUser,
0.0014715,0.7907084,215,0,0,0,0.7907084,0,0,0,0,TestUser,
0.0015436,0.7922519,216,0,0,0,0.7922519,0,0,0,0,TestUser,
0.0015712,0.7938231,217,0,0,0,0.7938231,0,0,0,0,TestUser,
0.0015425,0.7953656,218,0,0,0,0.7953656,0,0,0,0,TestUser,
0.0019458,0.7973114,219,0,0,0,0.7973114,0,0,0,0,TestUser,
0.0020376,0.7993491,220,0,0,0,0.7993491,0,0,0,0,TestUser,
0.0020831,0.8014321,221,0,0,0,0.8014321,0,0,0,0,TestUser,
0.0023266,0.8037587,222,0,0,0,0.8037587,0,0,0,0,TestUser,
0.0019329,0.8056917,223,0,0,0,0.8056917,0,0,0,0,TestUser,
0.0016087,0.8073003,224,0,0,0,0.8073003,0,0,0,0,TestUser,
0.0015977,0.808898,225,0,0,0,0.808898,0,0,0,0,TestUser,
0.0015934,0.8104914,226,0,0,0,0.8104914,0,0,0,0,TestUser,
0.002307,0.8127984,227,0,0,0,0.8127984,0,0,0,0,TestUser,
0.001833,0.8146315,228,0,0,0,0.8146315,0,0,0,0,TestUser,
0.0026625,0.8172939,229,0,0,0,0.8172939,0,0,0,0,TestUser,
0.001949,0.819243,230,0,0,0,0.819243,0,0,0,0,TestUser,
0.0022862,0.8215292,231,0,0,0,0.8215292,0,0,0,0,TestUser,
0.0020917,0.8236209,232,0,0,0,0.8236209,0,0,0,0,TestUser,
0.0019339,0.8255547,233,0,0,0,0.8255547,0,0,0,0,TestUser,
0.0017293,0.827284,234,0,0,0,0.827284,0,0,0,0,TestUser,
0.0025734,0.8298575,235,0,0,0,0.8298575,0,0,0,0,TestUser,
0.0020783,0.8319358,236,0,0,0,0.8319358,0,0,0,0,TestUser,
0.0026668,0.8346025,237,0,0,0,0.8346025,0,0,0,0,TestUser,
0.0027691,0.8373716,238,0,0,0,0.8373716,0,0,0,0,TestUser,
0.0019235,0.8392951,239,0,0,0,0.8392951,0,0,0,0,TestUser,
0.0017926,0.8410878,240,0,0,0,0.8410878,0,0,0,0,TestUser,
0.0019804,0.8430681,241,0,0,0,0.8430681,0,0,0,0,TestUser,
0.0022824,0.8453506,242,0,0,0,0.8453506,0,0,0,0,TestUser,
0.0017628,0.8471134,243,0,0,0,0.8471134,0,0,0,0,TestUser,
0.0021023,0.8492156,244,0,0,0,0.8492156,0,0,0,0,TestUser,
0.001973,0.8511887,245,0,0,0,0.8511887,0,0,0,0,TestUser,
0.0023802,0.8535689,246,0,0,0,0.8535689,0,0,0,0,TestUser,
0.0017843,0.8553531,247,0,0,0,0.8553531,0,0,0,0,TestUser,
0.0015992,0.8569524,248,0,0,0,0.8569524,0,0,0,0,TestUser,
0.0015041,0.8584564,249,0,0,0,0.8584564,0,0,0,0,TestUser,
0.0020818,0.8605382,250,0,0,0,0.8605382,0,0,0,0,TestUser,
0.0020637,0.8626019,251,0,0,0,0.8626019,0,0,0,0,TestUser,
0.001608,0.8642099,252,0,0,0,0.8642099,0,0,0,0,TestUser,
0.0017123,0.8659223,253,0,0,0,0.8659223,0,0,0,0,TestUser,
0.0017161,0.8676383,254,0,0,0,0.8676383,0,0,0,0,TestUser,
0.0019153,0.8695536,255,0,0,0,0.8695536,0,0,0,0,TestUser,
0.0014911,0.8710448,256,0,0,0,0.8710448,0,0,0,0,TestUser,
0.0015589,0.8726037,257,0,0,0,0.8726037,0,0,0,0,TestUser,
0.0014723,0.8740759,258,0,0,0,0.8740759,0,0,0,0,TestUser,
0.002374,0.8764499,259,0,0,0,0.8764499,0,0,0,0,TestUser,
0.0019033,0.8783532,260,0,0,0,0.8783532,0,0,0,0,TestUser,
0.0020949,0.8804482,261,0,0,0,0.8804482,0,0,0,0,TestUser,
0.002353,0.8828011,262,0,0,0,0.8828011,0,0,0,0,TestUser,
0.0023438,0.8851449,263,0,0,0,0.8851449,0,0,0,0,TestUser,
0.0016672,0.8868122,264,0,0,0,0.8868122,0,0,0,0,TestUser,
0.0015861,0.8883982,265,0,0,0,0.8883982,0,0,0,0,TestUser,
0.0015087,0.8899069,266,0,0,0,0.8899069,0,0,0,0,TestUser,
0.0016374,0.8915443,267,0,0,0,0.8915443,0,0,0,0,TestUser,
0.001919,0.8934633,268,0,0,0,0.8934633,0,0,0,0,TestUser,
